x,y
179.3083,98.67102
172.3083,117.181
165.5735,127.2894
151.7483,140.371
133.4783,150.771
114.8083,156.621
103.8935,158.4294
94.21827,158.891
85.37355,158.731
70.40827,157.101
61.24355,155.4194
45.30827,151.201
36.03354,148.141
15.90826,140.121
5.64827,135.321
-9.99173,127.081
-24.01645,119.021
-32.16173,113.361
-43.49173,105.941
-61.09,92.88499
-78.29172,78.73102
-93.05002,65.34102
-107.7717,50.57938
-123.3917,33.37102
-134.97,18.404
-145.1165,4.339378
-158.3417,-17.42898
-164.3164,-30.18062
-169.3365,-42.84062
-175.4917,-66.52898
-176.9617,-76.85062
-176.8864,-90.64063
-175.0817,-100.3206
-170.3617,-115.129
-164.4217,-124.5206
-158.9417,-131.399
-146.6317,-141.329
-134.6765,-147.489
-126.4965,-150.849
-108.5617,-155.499
-95.20645,-157.609
-73.86172,-159.129
-42.38173,-159.099
47.20827,-148.129
75.06355,-143.929
91.19354,-139.979
107.3083,-134.209
114.2635,-130.6506
122.5583,-123.779
126.6183,-118.159
129.1083,-108.669
129.1283,-100.349
126.8983,-89.95898
122.3383,-79.97897
117.2083,-69.827
98.34827,-42.02898
83.63827,-20.72898
79.68355,-12.66062
78.52827,-7.878983
77.04827,-1.338982
77.87827,5.75
81.37827,12.86102
88.33827,19.95102
95.31827,25.33102
102.9283,29.88102
118.5435,38.04939
133.2435,45.58102
156.5083,59.27102
165.7435,66.92102
175.9083,79.57102
